%time,field.header.seq,field.header.stamp,field.header.frame_id,field.actuate,field.body_name.data,field.use_offset,field.body_offset.position.x,field.body_offset.position.y,field.body_offset.position.z,field.body_offset.orientation.x,field.body_offset.orientation.y,field.body_offset.orientation.z,field.body_offset.orientation.w,field.use_sensor_data,field.sensor_identifier.data
1682978027889719001,4749,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027899079133,4750,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027906443504,4751,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027921423167,4752,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027928417662,4753,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027930985402,4754,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027940701446,4755,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027947634932,4756,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027959506200,4757,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027967888160,4758,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027974598174,4759,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027982348540,4760,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027989361142,4761,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027999677825,4762,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028007807192,4763,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028020276977,4764,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028023057629,4765,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028031239433,4766,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028041379618,4767,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028048675422,4768,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028058418441,4769,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028064889954,4770,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028073415895,4771,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028082189774,4772,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028090118581,4773,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028102889522,4774,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028107310271,4775,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028117912182,4776,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028123811349,4777,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028132122705,4778,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028143067077,4779,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028149347553,4780,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028162204241,4781,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028168653446,4782,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028172855732,4783,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028182414432,4784,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028189984140,4785,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028198741739,4786,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028209178930,4787,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028216990069,4788,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028222737012,4789,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028232394281,4790,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028240860209,4791,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028249203387,4792,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028261252117,4793,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028266915423,4794,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028272988976,4795,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028284593548,4796,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028292984953,4797,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028303953017,4798,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978028307394711,4799,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
